,วันที 09 เดือน กุมภาพันธ์ พ.ศ.,2565 เวสา 18:36,และพาณิชย์ (ฉบับที,ร่างพระราชบัญญัติ แก้ไขเพิ่มเติมประมวลกฎหมายแพ่ง - - -
,จ้านวนผู้เข้าร่วมประชุม,350,,คณะรัฐมนตรีรับไปพิจารณาก่อนรับหลักการ
เห็นด้วย,,219,,
ไม่เห็นด้วย,,118,,
งดออกเสียง,,12,,
ไม่สงคะแนนเสียง,,ไ,,
,,,,หน้า 1/ 1.1521
ลําดับที่,เลขที่บัตร,ชื่อ-สกุล,ซื่อสังกัด,ผลการลงคะแนน
. ,383,นายสมบัติ ศรีสุรินทร์,พรรคเพื่อไทย,เห็นด้วย
2,009,นายกตฤษฎา ตันเทอดทิตย์,พรรคเพื่อไทย,ไม่เห็นด้วย
3,022,นางสาวกิตตี๋ธัญญา วาจาดี,พรรคเพื่อไทย,ไม่เห็นด้วย
4ง,023,นายคิตติศักดิ์ คณาสวัสดิ์,พรรคเพื่อไทย,ไม่เห็นด้วย
5,035,ขนบายโกศสล ปทบมะ,พรรคเพื่อไทย,ไม่เห็นด้วย
เจ,ทฎิๆด้,นายคุณากร ปรีชาชนะชัย,พรรคเพื่อไทย,ไม่เห็นด้วย
”,ทงิ49,นายจรัสถทธิ์ จันทรสุรินทร์,พรรคเพื่อไทย,ไมเห็นด้วย
8,0ู56,นายจักรพล ตั้: ังสุทธิธรรม,พรรคเพื่อไทย,ไม่เห็นด้วย
9,058,นายจาตรงค์ เท็งนรพัฒน์,พรรคเพื่อไทย,ไม่เห็นด้วย
10,063,นายจิรพงษ์ ทรงวัชราภรณ์,พรรคเพื่อไทย,ไม่เห็นด้วย
ฯๆ ฯ ฒ่น สอ/-,064,นายจิรวัฒน์ ศิริพานีชย์,พรรคเพื่อไทย,ไม่เห็นด้วย
12,067,นางสาวจิราพร สินธุไพร,พรรคเพื่อไทย,ไม่เห็นด้วย
13,070,นางจุฑาพัตธน์ เมนะสวัสดิ์,พรรคเพื่อไทย,ไม่เห็นด้วย
14,075,นายจุลพันธ์ อมรวิวัฒน์,พรรคเพื่อไทย,ไม่เห็นด้วย
15,080,นายฉลาด ขามข่วง,พรรคเพื่อไทย,ไม่เห็นด้วย
ไ6,0ชี1,นางสาวซนก จันทาทอง,พรรคเพื่อไทย,ไม่เห็นด้วย
17,106,นายไชยวัฒนา ติณรัตน์,พรรคเพื่อไทย,ไม่เห็นด้วย
