จันที 09 เดือน กุมภาพันธ์ พ.ศ.,,2565 เวลา 16:284,(ฉบับที่ รางพระราชบัญญัติธนาคารแห่งประเทศไทย ง] พ.ศ.,
จ้านวนผู้เข้าร่วมประชุม,,2ว80,คณะรัฐมนตรีรับไปพิจารณาก่อนรับหลักการ,
เห็นด้วย,,239,,
ไม่เห็นด้วย,,140,,
งดออกเสียง,,. ,,
ไม่ลงคะแนนเสียง,,0,,
,,,,หน้า 1/ 1.1518
ลําดับที่,เลขที่บัตร,ชื่อ-สกุล,ซื่อสังกัด,ผลการลงคะแนน
า,237,นายพลภูมิ วิภัติภูมิประเทศ,พรรคเพื่อไทย,เห็นด้วย
2,5360,นายศิรสิทธิ์ เลิศด้วยลาภ,พรรคเพื่อไทย,เห็นด้วย
2,52383,นายสมบัติ ศรีสรีนทร์,พรรคเพื่อไทย,เห็นด้วย
ด่|,ๆ933,นางสุภาภรณ์ คงวุฒิปัญญา,พรรคเพื่อไทย,เห็นด้วย
5,009,นายกฤษฎา ตับเทอดทิตย์,พรรคเพื่อไทย,ไม่เห็นด้วย
6,022,นางสาวกิตตี้ธัญญา วาจาดี,พรรคเพื่อไทย,ไม่เห็นด้วย
ธุ,023,นายกิตติศักดิ์ คณาสวัสดิ์,พรรคเพื่อไทย,ไปเห็นด้วย
8,027,นายเกรียงศักดิ์ ฝ้ายสีงาม,พรรคเพื่อไทย,ไม่เห็นด้วย
9,029,นายเกษม ยุบระ,พรรคเพื่อไทย,ไม่เห็นด้วย
10,035,นายโกศล ปัทมะ,พรรคเพื่อไทย,ไม่เห็นด้วย
11,046,นษายคุณากร ปรีซาขนะขัย,พรรคเพื่อไทย,ไม่เห็นด้วย
12,049,นายจรัสฤทธิ์ จันทรสุรินทร์,พรรคเพื่อไทย,ไม่เห็นด้วย
13,0568,นายจาตุรงค์ เหพ็งนรพัฒน์,พรรคเพื่อไทย,ไม่เห็นด้วย
14,062,นายจิรหัศ ไกรเดชา,พรรคเพื่อไทย,ไม่เห็นด้วย
15,064,นายจิรวัฒน์ ศิริพานีขย์,พรรคเพื่อไทย,ไม่เห็นด้วย
16,067,นางสาวจิราพร สินธุไพร,พรรคเพื่อไทย,ไม่เห็นด้วย
17,070,นางจุฑาพัตธน์ เมนะสวัสดี์,พรรคเพื่อไทย,ไม่เห็นด้วย
ไ18,075,นายจุลพันธ์ อมรวิวัฒน์,พรรคเพื่อไทย,ไม่เห็นด้วย
19,080,พนายฉลาด ขามขาวง,พรรคเพื่อไทย,ไม่เห็นด้วย
20,081,นบนางสาวขนก จันทาทอง,พรรคเพื่อไทย,ไม่เห็นด้วย
21,083,นบนายซูลน่าน ศรีแก้ว,พรรคเพื่อไทย,ไม่เห็นด้วย
22,099,นายชูวิทย์ พิทักษ์พรพัลลภ,พรรคเพื่อไทย,ไม่เห็นด้วย
23,106,นายไชยวัฒนา ติณรัตน์,พรรคเพื่อไทย,ไม่เห็นด้วย
228,107,นายไชยา พรหมา,พรรคเพื่อไทย,ไม่เห็นด้วย
25,121,นายณ์ฐพงษ์ สูปริยศิสป์,พรรคเพื่อไทย,ไม่เห็นด้วย
,,,กลุ่มงานรายงานการประชุม สํานักรายงานการประชุมและขวเลข,
,,,,หน้า %/ 1.1518
ลําดับที่,เลขที่บัตร,ชื่อ-สกุล,ชื่อสังกัด,ผลการลงคะแบบ
