,คำนำหน้าชื่อ,ชื่อ,สกุล,,ส.ส.,ส.ว.,ครม.,ยังดำรงสถานะ,"นายกฯ
05-06-2562","LGBT
22-08-2562","BTS
05-09-2562","EEC
13-09-2562","พรก. กำลังพล
29-10-2562","พรบ. งบ
29-10-2562","กมธ.วิสามัญ ใช้สารเคมี
13-09-2562","กมธ. วิสามัญ โครงการผันน้ำ
22-11-2562","กมธ.วิสามัญ ผลกระทบจาก ม. 55ป
05-12-2562","กมธ.วิสามัญ ตรวจสอบละเมิดสิทธิมนุษยชน
19-12-2562","ถอนญัตติ ตั้ง กมธ. วิสามัญ กฎอัยการศึก และพรก.ฉุกเฉิน
27-11-2562","กมธ. วิสามัญ ตรวจสอบสร้างรัฐสภา
21-12-2562","กมธ.วิสามัญ ตั้งกระทรวงการข้าว
16-01-2563","กมธ. วิสามัญ ป้องกันรัฐประหาร
20-02-2563",โหวต 7 ร่างแก้รธน.(ฉบับที่ 1) 2563-11-18,โหวต 7 ร่างแก้รธน.(ฉบับที่ 2) 2563-11-18,โหวต 7 ร่างแก้รธน.(ฉบับที่ 3) 2563-11-18,โหวต 7 ร่างแก้รธน.(ฉบับที่ 4) 2563-11-18,โหวต 7 ร่างแก้รธน.(ฉบับที่ 5) 2563-11-18,โหวต 7 ร่างแก้รธน.(ฉบับที่ 6) 2563-11-18,โหวต 7 ร่างแก้รธน.(ฉบับที่ 7) 2563-11-18,"ขอศาลรธน. วินิจฉัยปัญหาหน้าที่และอำนาจของรัฐสภา
2564-02-09",อภิปรายไม่ไว้วางใจ พลเอกประยุทธ์ จันทร์โอชา 20-02-2564,อภิปรายไม่ไว้วางใจ พลเอกประวิตร วงษ์สุวรรณ 20-02-2564,อภิปรายไม่ไว้วางใจ นายอนุทิน ชาญวีรกูล 20-02-2564,อภิปรายไม่ไว้วางใจ นายจุรินทร์ ลักษณวิศิษฏ์ 20-02-2564,อภิปรายไม่ไว้วางใจ พลเอก อนุพงษ์ เผ่าจินดา 20-02-2564,อภิปรายไม่ไว้วางใจ นายณัฏฐพล ทีปสุวรรณ 20-02-2564,อภิปรายไม่ไว้วางใจ นายสุชาติ ชมกลิ่น 20-02-2564,อภิปรายไม่ไว้วางใจ นายศักดิ์สยาม ชิดชอบ 20-02-2564,อภิปรายไม่ไว้วางใจ นายนิพนธ์ บุญญามณี 20-02-2564,อภิปรายไม่ไว้วางใจ ร้อยเอก ธรรมนัส พรมเผ่า 20-02-2564,"แก้ไขเพิ่มเติมร่าง รธน.
17-03-2564",โหวต 13 ร่าง รธน. ร่าง 1 (24-06-64),โหวต 13 ร่าง รธน. ร่าง 2 (24-06-64),โหวต 13 ร่าง รธน. ร่าง 3 (24-06-64),โหวต 13 ร่าง รธน. ร่าง 4 (24-06-64),โหวต 13 ร่าง รธน. ร่าง 5 (24-06-64),โหวต 13 ร่าง รธน. ร่าง 6 (24-06-64),โหวต 13 ร่าง รธน. ร่าง 7 (24-06-64),โหวต 13 ร่าง รธน. ร่าง 8 (24-06-64),โหวต 13 ร่าง รธน. ร่าง 9 (24-06-64),โหวต 13 ร่าง รธน. ร่าง 10 (24-06-64),โหวต 13 ร่าง รธน. ร่าง 11 (24-06-64),โหวต 13 ร่าง รธน. ร่าง 12 (24-06-64),โหวต 13 ร่าง รธน. ร่าง 13 (24-06-64),"โหวตพ.ร.ก.เงินกู้ เพิ่มเติม 2564
","อภิปรายไม่ไว้วางใจพลเอกประยุทธ์ จันทรโอชา
(04-09-64)","อภิปรายไม่ไว้วางใจอนุทิน  ชาญวีรกูล
(04-09-64)","อภิปรายไม่ไว้วางใจสุชาติ  ชมกลิ่น
(04-09-64)","อภิปรายไม่ไว้วางใจศักดิ์สยาม ชิดชอบ
(04-09-64)","อภิปรายไม่ไว้วางใจเฉลิมชัย  ศรีอ่อน
(04-09-64)","อภิปรายไม่ไว้วางใจชัยวุฒิ  ธนาคมมานุสรณ์
(04-09-64)","โหวตร่างพ.ร.บ.พืชกระท่อม
(08-09-64)","โหวตร่างพ.ร.บ.ลิขสิทธิ์
(03-11-64)","โหวตร่างพ.ร.บ. คุ้มครองพยานในคดีอาญา 
(10-11-64)","ร่าง พ.ร.บ. การศึกษาแห่งชาติ
(09-11-64)",ร่าง พ.ร.บ. ส่งเสริมการเรียนรู้ (09-11-64),ร่างแก้ไขรัฐธรรมนูญ (ฉบับประชาชน - Resolution) (17-11-64),ร่าง พ.ร.บ. ฟอกเงิน (17-11-64),ร่าง พ.ร.บ. ปลดอาวุธ คสช. (ฉบับประชาชน) (15-12-64),ร่าง พ.ร.บ. ปลดอาวุธ คสช. (15-12-64),ร่าง พ.ร.บ. กยศ. (วาระที่ 1) (26-01-65),ร่าง พ.ร.บ. จราจรทางบก  (02-02-65),ร่าง พ.ร.บ. ป้องกันการกระทำความผิดซ้ำฯ (วาระที่ 1) (02-02-65),ร่าง พ.ร.บ. คุ้มครองแรงงาน (วาระที่ 1) (02-02-65),รายงานศึกษาขุดคลองไทย (04-02-65),ร่าง พ.ร.บ.สุราก้าวหน้า (โหวตให้ ครม. รับไปพิจารณาก่อนรับหลักการ)  (09-02-65),ร่าง พ.ร.บ. ฉุกเฉิน  (โหวตให้ ครม. รับไปพิจารณาก่อนรับหลักการ) (09-02-65),แก้ พ.ร.บ.ธนาคารแห่งประเทศไทย  (โหวตให้ ครม. รับไปพิจารณาก่อนรับหลักการ)  (09-02-65),ร่าง พ.ร.บ. สมรสเท่าเทียม  (โหวตให้ ครม. รับไปพิจารณาก่อนรับหลักการ)  (09-02-65),"1 = เห็นด้วย , 2 = ไม่เห็นด้วย ,
3 = งดออกเสียง , 4 = ไม่ลงคะแนนเสียง, 
เว้นว่าง = ไม่เข้าร่วมประชุม ,
 - = ไม่ใช่วาระการประชุม"
id,title,name,lastname,party,is_mp,is_senator,is_cabinet,is_active,votelog.__1,votelog.__2,votelog.__3,votelog.__4,votelog.__5,votelog.__6,votelog.__7,votelog.__8,votelog.__9,votelog.__10,votelog.__11,votelog.__12,votelog.__13,votelog.__14,votelog.__26,votelog.__27,votelog.__28,votelog.__29,votelog.__30,votelog.__31,votelog.__32,votelog.__33,votelog.__34,votelog.__35,votelog.__36,votelog.__37,votelog.__38,votelog.__39,votelog.__40,votelog.__41,votelog.__42,votelog.__43,votelog.__44,votelog.__45,votelog.__46,votelog.__47,votelog.__48,votelog.__49,votelog.__50,votelog.__51,votelog.__52,votelog.__53,votelog.__54,votelog.__55,votelog.__56,votelog.__57,votelog.__58,votelog.__59,votelog.__60,votelog.__61,votelog.__62,votelog.__63,votelog.__64,votelog.__65,votelog.__66,votelog.__67,votelog.__68,votelog.__69,votelog.__70,votelog.__71,votelog.__72,votelog.__73,votelog.__74,votelog.__75,votelog.__76,votelog.__77,votelog.__78,votelog.__79,votelog.__80,votelog.__81,votelog.__82,
1,พลเอก,ประยุทธ์,จันทร์โอชา,,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2,พลเอก,ประวิตร,วงษ์สุวรรณ,พลังประชารัฐ,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
3,ดร.,สมคิด,จาตุศรีพิทักษ์,พลังประชารัฐ,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
4,ดร.,วิษณุ,เครืองาม,,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
5,พลเอก,ชัยชาญ,ช้างมงคล,,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
6,ดร.,อุตตม,สาวนายน,พลังประชารัฐ,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
7,นาย,ดอน,ปรมัตถ์วินัย,,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
8,นาย,พิพัฒน์,รัชกิจประการ,ภูมิใจไทย,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
9,นาย,จุติ,ไกรฤกษ์,ประชาธิปัตย์,0,0,1,1,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
10,ดร.,สุวิทย์,เมษินทรีย์,พลังประชารัฐ,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
11,นาย,เฉลิมชัย,ศรีอ่อน,ประชาธิปัตย์,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
12,นางสาว,มนัญญา,ไทยเศรษฐ์,ภูมิใจไทย,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
