0,1,2,3,4,5
,วันที 09 เดือน กุมภาพันธ์ พ.ศ.,2565 เวลา 18:36,ร่างพระราชบัญญัติแก้ไขเพิ่มเติมประมวลกฎหมายแพ่ง และพาณิชย์ (ฉบับที่ ..) พ.ศ. ...า.,,
 จำนานผู้เข้าร่วมประชุม,,350,อณะรัฐมนตรีรับไปพิจารณาก่อนรับหลักการ,,
เห็นด้าย,,219,,,
ไม่เห็นด้าย,,118,,,
 งดออกเสียง,,12,,,
ไม่ลงคะแนน.สียง,,1,,,
,,,,หน้า 1/ 1.1521,
ลำดับที่,เลขที่บัตร,ชือ-สกุล,ชื่อสังกัด,ผลการลงคะแนน,
1,383,นายสมบัติ ศรีสุรินทร์,พรรค.เพือไทย,เห็นด้าย,
2,009,นายกฤษฎา ตันเทอดทิตย์,พรรคเพือไทย,ไม่เห็นด้วย,
3,022,นางสาวกิตติธัญญา วาจาดี,พรรคเพื่อไทย,ไม่.ท็นด้าย,
4,023,นายกิตติศักดิ์  คณาสวัสดิ์,พรรคเพือไทย,ไม่เท็นด้วย,
5,035,นายโกศล ปัทมะ,พรรคเพื่อไทย,ไม่เห็นด้าย,
6,046,นายคุณากร ปรีชาชนะชัย,พรรคเพื่อไทย,ไม่เท็นด้าย,
7,049,นายจรัสฤทธิ์  จันทรสุรินทร์,พรรคเพื่อไทย,ไม่เท็นด้าย,
8,054,นายจักรพล ตั้งสุทธิธรรม,พรรคเพื่อไทย,ไม่เท็นด้าย,
9,058,นายจาตุรงค์ เพ็งนรพัฒน์,พรรค.เพือไทย,ไม่.ห็นด้าย,
 10,063,นายจิรพงษ์ ทรงวัชราภรณ์,พรรค.พือไทย,ไม่เห็นด้าย,
1.,064,นายจิรวัฒน์ ศิริพานิชย์,พรรคเพือไทย,ไม่เท็นด้วย,
12,067, นางสาาจิราพร สินธุไพร,พรรค.เพื่อไทย,ไม่เห็นด้วย,
13,070,นางจุทาพัตธน์ .มนะสวัสดิ์,พรรคเพือไทย,ไม่เห็นด้วย,
14,075,นายจุลพันธ์ อมรวิวัฒน์,พรรคเพื่อไทย,ไม่เห็นด้าย,
15,080,นายฉลาด ขามช่าง,พรรคเพื่อไทย,ไมเท็นด้าย,
16,081,นางสาวชนก  จันทาทอง,พรรคเพื่อไทย,ไม่.ท็นด้าย,
17,106,นายไชยวัฒนา ติณรัตน์,พรรค.พือไทย,ไม่.ห็นด้วย,
18,121,นายณัฐพงษ์ สุบริยศิลป์,พรรคเพือไทย,ไม่.ห็นด้วย,
19,142,นางสาวทัศนีย์ บูรณุปกรณ์,พรรค.เพื่อไทย,ไม่เท็นด้วย,
